name,nationality,currentClub,leaguesPlayed,primaryPosition,dateOfBirth,preferredFoot,height,individualTitles,teamTitles,playedWorldCup,difficulty
Lionel Messi,Argentina,Inter Miami,La Liga|Ligue 1|MLS,Atacante,1987-06-24,Esquerdo,170,Bola de Ouro|FIFA The Best|Chuteira de Ouro,Copa do Mundo|Champions League|La Liga|Ligue 1,Yes,easy
Cristiano Ronaldo,Portugal,Al Nassr,Premier League|La Liga|Serie A|Liga Saudita,Atacante,1985-02-05,Direito,187,Bola de Ouro|FIFA The Best|Chuteira de Ouro,Champions League|Premier League|La Liga|Serie A|Eurocopa,Yes,easy
Neymar,Brasil,Santos,Brasileirão|La Liga|Ligue 1|Liga Saudita,Atacante,1992-02-05,Direito,175,Chuteira de Ouro,Champions League|La Liga|Ligue 1|Copa Libertadores,Yes,easy
Kylian Mbappé,França,Real Madrid,Ligue 1|La Liga,Atacante,1998-12-20,Direito,178,Chuteira de Ouro,Copa do Mundo|Ligue 1|La Liga,Yes,easy
Erling Haaland,Noruega,Manchester City,Bundesliga|Premier League,Atacante,2000-07-21,Esquerdo,194,Chuteira de Ouro,Champions League|Premier League|Bundesliga,No,easy


